# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:52:03.506579Z,0.000,24,143,warmup,5.5
2025-12-31T13:52:05.426579Z,1.920,63,141,warmup,5.5
2025-12-31T13:52:08.706579Z,5.200,53,142,warmup,5.5
2025-12-31T13:52:14.906579Z,11.400,54,143,warmup,5.5
2025-12-31T13:52:17.786579Z,14.280,26,139,warmup,5.5
2025-12-31T13:52:21.306579Z,17.800,74,139,warmup,5.5
2025-12-31T13:52:24.466579Z,20.960,26,143,warmup,5.5
2025-12-31T13:52:26.506579Z,23.000,19,140,warmup,5.5
2025-12-31T13:52:28.026579Z,24.520,41,143,warmup,5.5
2025-12-31T13:52:29.226579Z,25.720,49,139,warmup,5.5
2025-12-31T13:52:30.826579Z,27.320,47,143,warmup,5.5
2025-12-31T13:52:32.506579Z,29.000,49,143,warmup,5.5
2025-12-31T13:52:34.306579Z,30.800,39,139,warmup,5.5
2025-12-31T13:52:35.706579Z,32.200,46,140,warmup,5.5
2025-12-31T13:52:37.266579Z,33.760,42,142,warmup,5.5
2025-12-31T13:52:38.666579Z,35.160,44,139,warmup,5.5
2025-12-31T13:52:40.106579Z,36.600,46,140,warmup,5.5
2025-12-31T13:52:41.506579Z,38.000,55,143,warmup,5.5
2025-12-31T13:52:43.026579Z,39.520,48,140,warmup,5.5
2025-12-31T13:52:44.346579Z,40.840,62,143,warmup,5.5
2025-12-31T13:52:45.946579Z,42.440,55,140,warmup,5.5
2025-12-31T13:52:47.386579Z,43.880,57,140,warmup,5.5
2025-12-31T13:52:48.946579Z,45.440,55,139,warmup,5.5
2025-12-31T13:52:50.426579Z,46.920,47,142,warmup,5.5
2025-12-31T13:52:51.826579Z,48.320,57,139,warmup,5.5
2025-12-31T13:52:53.546579Z,50.040,81,143,warmup,5.5
2025-12-31T13:52:56.746579Z,53.240,61,142,warmup,5.5
2025-12-31T13:52:58.306579Z,54.800,41,141,warmup,5.5
2025-12-31T13:52:59.746579Z,56.240,61,115,warmup,5.5
2025-12-31T13:53:01.146579Z,57.640,63,107,warmup,5.5
